  freq  orth                                     rules                   test                                            correct             gold    compound
------  ---------------------------------------  ----------------------  ----------------------------------------------  ------------------  ------  ----------
     1  kiekkogolf                               T1                      kiek.ko.golf
     1  Frithiof                                 T1 T2                   frit.hi.of
     1  Yourself                                 T1 T7 T2                y.o.ur.self
     1  Stockhoff                                T1                      stock.hoff
     1  Feodoroff                                T1 T2                   fe.o.do.roff
     1  Jarolf                                   T1                      ja.rolf
     1  Skylif                                   T1                      sky.lif
     1  Bergdorf                                 T1                      berg.dorf
     1  Suksdorf                                 T1                      suks.dorf
     1  Waldhof                                  T1                      wald.hof
     1  Osterhoff                                T1                      os.ter.hoff
     1  Schwartzkopf                             T1                      schwartz.kopf
     1  Samiloff                                 T1                      sa.mi.loff
     1  Sederlöf                                 T1                      se.der.löf
     1  Nataf                                    T1                      na.taf
     1  Schoschkoff                              T1                      schosch.koff
     1  Wyclef                                   T1                      wyc.lef
     1  Marioff                                  T1 T2                   ma.ri.off
     1  Krzystof                                 T1                      krzys.tof
     1  Gauriloff                                T1                      gau.ri.loff
     1  Sergejeff                                T1                      ser.ge.jeff
     1  Sverloff                                 T1                      sver.loff
     1  Moshnikoff                               T1                      mosh.ni.koff
     1  Bunsdorff                                T1                      buns.dorff
     1  Oloff                                    T1                      o.loff
     1  Schuravleff                              T1                      schu.rav.leff
     1  Simberloff                               T1                      sim.ber.loff
     1  Gettaf                                   T1                      get.taf
     1  Ignatieff                                T1 T8                   ig.na.ti.eff
     1  Maalouf                                  T1 T4                   maa.lo.uf
     1  Youssef                                  T1 T7 T2                y.o.us.sef
     1  Buliwyf                                  T1                      bu.li.wyf
     1  Ostehoff                                 T1                      os.te.hoff
     1  Burakoff                                 T1                      bu.ra.koff
     1  Interstoff                               T1                      in.ters.toff
     1  Breitkopf                                T1                      breit.kopf
     1  Cheremeteff                              T1                      che.re.me.teff
     1  Leboef                                   T1 T2                   le.bo.ef
     1  Bogomoloff                               T1                      bo.go.mo.loff
     1  Dierdorf                                 T1                      dier.dorf
     1  Rhöndorf                                 T1                      rhön.dorf
     1  Makaroff                                 T1                      ma.ka.roff
     1  Magaloff                                 T1                      ma.ga.loff
     1  Froloff                                  T1                      fro.loff
     1  Hochtief                                 T1 T8                   hoch.ti.ef
     1  Werewolf                                 T1                      we.re.wolf
     1  Pavloff                                  T1                      pav.loff
     1  Eppendorf                                T1                      ep.pen.dorf
     1  Stepanoff                                T1                      ste.pa.noff
     1  Yosef                                    T1 T2                   y.o.sef
     1  Iliff                                    T1                      i.liff
     1  Piaf                                     T2                      pi.af
     1  Mischief                                 T1 T8                   misc.hi.ef
     1  Svenolof                                 T1                      sve.no.lof
     1  Yussef                                   T1 T2                   y.us.sef
     1  Ditleff                                  T1                      dit.leff
     1  Hirndorf                                 T1                      hirn.dorf
     1  Leboueuf                                 T1                      le.boueuf
     1  Bayleaf                                  T1 T2                   bay.le.af
     1  Onuf                                     T1                      o.nuf
     1  Motaleff                                 T1                      mo.ta.leff
     1  Ponomareff                               T1                      po.no.ma.reff
     1  Petroff                                  T1                      pet.roff
     1  Jefremoff                                T1                      jef.re.moff
     1  Asif                                     T1                      a.sif
     1  Tiihanoff                                T1                      tii.ha.noff
     1  Sharaf                                   T1                      sha.raf
     1  Orloff                                   T1                      or.loff
     1  Hattendorf                               T1                      hat.ten.dorf
     1  Sportinf                                 T1                      spor.tinf
     1  Cederlöf                                 T1                      ce.der.löf
     1  Rosenlöf                                 T1                      ro.sen.löf
     1  Lagerlöf                                 T1                      la.ger.löf
     1  Myself                                   T1                      my.self
     1  Nayef                                    T7                      nay.ef
     1  Gundorf                                  T1                      gun.dorf
     1  Orf                                      T0                      orf
     1  Yusof                                    T1 T2                   y.u.sof
     1  Rachmaninoff                             T1                      rach.ma.ni.noff
     1  Bischof                                  T1                      bisc.hof
     1  Volksgerichtshof                         T1                      volks.ge.richts.hof
     1  Maumoff                                  T1                      mau.moff
     1  Arif                                     T1                      a.rif
     1  Poprikof                                 T1                      pop.ri.kof
     1  Tausseef                                 T1                      taus.seef
     1  Reiulf                                   T5                      rei.ulf
     1  Shelef                                   T1                      she.lef
     1  Knellwolf                                T1                      knell.wolf
     1  Schwarzkopf                              T1                      schwarz.kopf
     1  Stutthof                                 T1                      stutt.hof
     1  Keskinen-Kiprusoff                       T1 | T1                 kes.ki.nen-kip.ru.soff
     1  Freedom Be Yourself                      T1 | T0 | T1 T7 T2      free.dom be y.o.ur.self
     1  Rosvo-Rudolf                             T1 | T1                 ros.vo-ru.dolf
     1  Per-Olof                                 T0 | T1                 per-o.lof
     1  Mugarief                                 T1 T8                   mu.ga.ri.ef
     1  mini-golf                                T1 | T0                 mi.ni-golf
     1  Microsoft Golf                           T1 | T0                 mic.ro.soft golf
     1  Luif                                     T0                      luif
     1  Naef                                     T2                      na.ef
     1  Nawaf                                    T1                      na.waf
     1  Milf                                     T0                      milf
     1  Ref                                      T0                      ref
     1  Tuf                                      T0                      tuf
     1  Kempf                                    T0                      kempf
     1  Stumpf                                   T0                      stumpf
     1  Spliff                                   T0                      spliff
     1  Luff                                     T0                      luff
     1  Neuf                                     T0                      neuf
     1  Auf                                      T0                      auf
     1  Fluff                                    T0                      fluff
     1  Woolf                                    T0                      woolf
     1  Biff                                     T0                      biff
     1  Hoff                                     T0                      hoff
     1  Cerf                                     T0                      cerf
     1  Worf                                     T0                      worf
     1  Siff                                     T0                      siff
     1  Buff                                     T0                      buff
     1  Schöpf                                   T0                      schöpf
     1  Apligraf                                 T1                      ap.li.graf
     1  Huf                                      T0                      huf
     1  Cruijff                                  T0                      cruijff
     1  Conf                                     T0                      conf
     1  Bluff                                    T0                      bluff
     1  Serf                                     T0                      serf
     1  Kouf                                     T0                      kouf
     1  Beef                                     T0                      beef
     1  Chunf                                    T0                      chunf
     1  Gulf                                     T0                      gulf
     1  Stiff                                    T0                      stiff
     1  Scharf                                   T0                      scharf
     1  Chef                                     T0                      chef
     1  Hyung                                    T2                      hy.ung
     1  Mag                                      T0                      mag
     1  Hemlig                                   T1                      hem.lig
     1  Rag                                      T0                      rag
     1  Painting                                 T1                      pain.ting
     1  Zettenberg                               T1                      zet.ten.berg
     1  Öhrning                                  T1                      öhr.ning
     1  Wakeling                                 T1                      wa.ke.ling
     1  Piping                                   T1                      pi.ping
     1  leasing                                  T1 T2                   le.a.sing
     1  Dong                                     T0                      dong
     1  Öhrnberg                                 T1                      öhrn.berg
     1  Wenberg                                  T1                      wen.berg
     1  Zhuang                                   T2                      zhu.ang
     1  Hörberg                                  T1                      hör.berg
     1  Rising                                   T1                      ri.sing
     1  Gunveig                                  T1                      gun.veig
     1  Rongrong                                 T1                      rong.rong
     1  Staying                                  T5                      sta.ying
     1  Undantag                                 T1                      un.dan.tag
     1  Cruising                                 T1                      crui.sing
     1  Strömborg                                T1                      ström.borg
     1  Stauning                                 T1                      stau.ning
     1  Strabag                                  T1                      stra.bag
     1  Rocking                                  T1                      roc.king
     1  Sundbyberg                               T1                      sund.by.berg
     1  Petersberg                               T1                      pe.ters.berg
     1  Goring                                   T1                      go.ring
     1  Danneberg                                T1                      dan.ne.berg
     1  Breathing                                T1 T2                   bre.at.hing
     1  Granberg                                 T1                      gran.berg
     1  Yongming                                 T1 T2                   y.ong.ming
     1  Helling                                  T1                      hel.ling
     1  Monberg                                  T1                      mon.berg
     1  Daytrading                               T1                      dayt.ra.ding
     1  Jumping                                  T1                      jum.ping
     1  Taepodong                                T1 T2                   ta.e.po.dong
     1  Linberg                                  T1                      lin.berg
     1  Waltenberg                               T1                      wal.ten.berg
     1  Whittering                               T1                      whit.te.ring
     1  Weisberg                                 T1                      weis.berg
     1  Jitang                                   T1                      ji.tang
     1  Hindenburg                               T1                      hin.den.burg
     1  Westerling                               T1                      wes.ter.ling
     1  Achselschwang                            T1                      ach.selsch.wang
     1  Nickberg                                 T1                      nick.berg
     1  Sellberg                                 T1                      sell.berg
     1  Kadakaturg                               T1                      ka.da.ka.turg
     1  Kongsberg                                T1                      kongs.berg
     1  Tong                                     T0                      tong
     1  Zhejiang                                 T1 T2                   zhe.ji.ang
     1  Spaulding                                T1                      spaul.ding
     1  Running                                  T1                      run.ning
     1  Wehling                                  T1                      weh.ling
     1  Attling                                  T1                      att.ling
     1  Niedring                                 T1                      nied.ring
     1  Bowling                                  T1                      bow.ling
     1  Pengrong                                 T1                      peng.rong
     1  Liong                                    T2                      li.ong
     1  Harbig                                   T1                      har.big
     1  Imberg                                   T1                      im.berg
     1  Sanderling                               T1                      san.der.ling
     1  Sikiang                                  T1 T2                   si.ki.ang
     1  Tageszeitung                             T1                      ta.ges.zei.tung
     1  Traveling                                T1                      tra.ve.ling
     1  Giltig                                   T1                      gil.tig
     1  Euromeeting                              T1                      eu.ro.mee.ting
     1  Skipalong                                T1                      ski.pa.long
     1  Irwing                                   T1                      ir.wing
     1  Ootsing                                  T1                      oot.sing
     1  Kellogg                                  T1                      kel.logg
     1  Qisheng                                  T1                      qis.heng
     1  Hulling                                  T1                      hul.ling
     1  Trierenberg                              T1                      trie.ren.berg
     1  Husaberg                                 T1                      hu.sa.berg
     1  Forssberg                                T1                      forss.berg
     1  Arkipelag                                T1                      ar.ki.pe.lag
     1  Widjskog                                 T1                      widjs.kog
     1  Gehring                                  T1                      geh.ring
     1  Författarförening                        T1                      för.fat.tar.fö.re.ning
     1  Kerrang                                  T1                      ker.rang
     1  Armstong                                 T1                      arms.tong
     1  Lilleberg                                T1                      lil.le.berg
     1  Educating                                T1                      e.du.ca.ting
     1  Merseburg                                T1                      mer.se.burg
     1  ginseng                                  T1                      gin.seng
     1  Götterdämmerung                          T1                      göt.ter.däm.me.rung
     1  Writing                                  T1                      wri.ting
     1  Alborg                                   T1                      al.borg
     1  Whipping                                 T1                      whip.ping
     1  Hamborg                                  T1                      ham.borg
     1  Accounting                               T1 T4                   ac.co.un.ting
     1  Poppeberg                                T1                      pop.pe.berg
     1  Jarlsberg                                T1                      jarls.berg
     1  Fölsing                                  T1                      föl.sing
     1  Aschberg                                 T1                      asch.berg
     1  Searching                                T1 T2                   se.arc.hing
     1  Energiaholding                           T1 T2                   e.ner.gi.a.hol.ding
     1  Aqualung                                 T1 T2                   a.qu.a.lung
     1  Centralandelslag                         T1                      cent.ra.lan.dels.lag
     1  Schlesweig                               T1                      schles.weig
     1  ulkoilmahappening                        T1                      ul.koil.ma.hap.pe.ning
     1  Quisling                                 T1                      quis.ling
     1  Trachtenberg                             T1                      trach.ten.berg
     1  Viewing                                  T1                      vie.wing
     1  Listening                                T1                      lis.te.ning
     1  Diving                                   T1                      di.ving
     1  Dybvig                                   T1                      dyb.vig
     1  Wilding                                  T1                      wil.ding
     1  Helsinberg                               T1                      hel.sin.berg
     1  Awakening                                T1                      a.wa.ke.ning
     1  Gavling                                  T1                      gav.ling
     1  Hinberg                                  T1                      hin.berg
     1  Spihlberg                                T1                      spihl.berg
     1  Aisling                                  T1                      ais.ling
     1  Winterberg                               T1                      win.ter.berg
     1  Bullfrog                                 T1                      bullf.rog
     1  Jiazong                                  T1 T2                   ji.a.zong
     1  Kiinteistöholding                        T1                      kiin.teis.tö.hol.ding
     1  Levring                                  T1                      lev.ring
     1  Okking                                   T1                      ok.king
     1  Strängbetong                             T1                      sträng.be.tong
     1  Kitsing                                  T1                      kit.sing
     1  Ärlig                                    T1                      är.lig
     1  Lemberg                                  T1                      lem.berg
     1  Semberg                                  T1                      sem.berg
     1  Blessing                                 T1                      bles.sing
     1  Todahlskog                               T1                      to.dahls.kog
     1  Dongyang                                 T1 T2                   don.gy.ang
     1  Drowning                                 T1                      drow.ning
     1  Självständig                             T1                      självs.tän.dig
     1  junioriranking                           T1 T2                   ju.ni.o.ri.ran.king
     1  Hutshing                                 T1                      huts.hing
     1  Manufacturing                            T1                      ma.nu.fac.tu.ring
     1  Schmeling                                T1                      schme.ling
     1  Tayung                                   T7                      tay.ung
     1  Sveaborg                                 T1 T2                   sve.a.borg
     1  Hedvig                                   T1                      hed.vig
     1  Dewang                                   T1                      de.wang
     1  Tidning                                  T1                      tid.ning
     1  Attenboroug                              T1 T4                   at.ten.bo.ro.ug
     1  Lillberg                                 T1                      lill.berg
     1  Liuming                                  T1                      liu.ming
     1  Giang                                    T2                      gi.ang
     1  Flirting                                 T1                      flir.ting
     1  Sharping                                 T1                      shar.ping
     1  Missbehaving                             T1                      miss.be.ha.ving
     1  Behlag                                   T1                      beh.lag
     1  Wartburg                                 T1                      wart.burg
     1  Emerging                                 T1                      e.mer.ging
     1  Howling                                  T1                      how.ling
     1  Rambling                                 T1                      ramb.ling
     1  Macig                                    T1                      ma.cig
     1  Berling                                  T1                      ber.ling
     1  Cramling                                 T1                      cram.ling
     1  Andberg                                  T1                      and.berg
     1  Stormvarning                             T1                      storm.var.ning
     1  Heckerling                               T1                      hec.ker.ling
     1  Hasliberg                                T1                      has.li.berg
     1  Harrisburg                               T1                      har.ris.burg
     1  Stichting                                T1                      stich.ting
     1  Viborg                                   T1                      vi.borg
     1  Myung                                    T2                      my.ung
     1  Rundberg                                 T1                      rund.berg
     1  Oneborg                                  T1                      o.ne.borg
     1  Capturing                                T1                      cap.tu.ring
     1  Ärling                                   T1                      är.ling
     1  Boozing                                  T1                      boo.zing
     1  Ekenberg                                 T1                      e.ken.berg
     1  Marburg                                  T1                      mar.burg
     1  Kukong                                   T1                      ku.kong
     1  Brussig                                  T1                      brus.sig
     1  Blauberg                                 T1                      blau.berg
     1  Codling                                  T1                      cod.ling
     1  Stealing                                 T1 T2                   ste.a.ling
     1  Exciting                                 T1                      ex.ci.ting
     1  Seberg                                   T1                      se.berg
     1  Parving                                  T1                      par.ving
     1  Erlkönig                                 T1                      erl.kö.nig
     1  Schoenberg                               T1 T2                   scho.en.berg
     1  Kaprirsang                               T1                      kap.rir.sang
     1  Petersbug                                T1                      pe.ters.bug
     1  Schilling                                T1                      schil.ling
     1  Ludvig                                   T1                      lud.vig
     1  Stiftung                                 T1                      stif.tung
     1  Kiessling                                T1                      kiess.ling
     1  veridoping                               T1                      ve.ri.do.ping
     1  Böhling                                  T1                      böh.ling
     1  Tornsberg                                T1                      torns.berg
     1  Sternberg                                T1                      stern.berg
     1  Zag                                      T0                      zag
     1  Ulfrigg                                  T1                      ulf.rigg
     1  Bulldogg                                 T1                      bull.dogg
     1  Nutmeg                                   T1                      nut.meg
     1  Catering                                 T1                      ca.te.ring
     1  Örnberg                                  T1                      örn.berg
     1  Castenhag                                T1                      cas.ten.hag
     1  Frejborg                                 T1                      frej.borg
     1  Slesvig                                  T1                      sles.vig
     1  Creutzburg                               T1                      creutz.burg
     1  Nasdag                                   T1                      nas.dag
     1  Multipacting                             T1                      mul.ti.pac.ting
     1  Körberg                                  T1                      kör.berg
     1  Risbeg                                   T1                      ris.beg
     1  Missing                                  T1                      mis.sing
     1  Gauteng                                  T1                      gau.teng
     1  Hetzberg                                 T1                      hetz.berg
     1  Kruhaug                                  T1 T4                   kru.ha.ug
     1  Moving                                   T1                      mo.ving
     1  Morgenstreng                             T1                      mor.genst.reng
     1  Daedong                                  T1 T2                   da.e.dong
     1  Karlsberg                                T1                      karls.berg
     1  Warning                                  T1                      war.ning
     1  Vereeniging                              T1                      ve.ree.ni.ging
     1  Skanderbeg                               T1                      skan.der.beg
     1  Scouting                                 T1                      scou.ting
     1  Emiting                                  T1                      e.mi.ting
     1  Shandong                                 T1                      shan.dong
     1  Wigberg                                  T1                      wig.berg
     1  Gardberg                                 T1                      gard.berg
     1  Blurring                                 T1                      blur.ring
     1  Laming                                   T1                      la.ming
     1  Goehring                                 T1 T2                   go.eh.ring
     1  Trikotfabriksbolag                       T1                      tri.kot.fab.riks.bo.lag
     1  Dammenberg                               T1                      dam.men.berg
     1  Morphing                                 T1                      morp.hing
     1  Hassing                                  T1                      has.sing
     1  Ritthaisong                              T1                      ritt.hai.song
     1  Jeftig                                   T1                      jef.tig
     1  Lampang                                  T1                      lam.pang
     1  Sightseeing                              T1 T6                   sight.see.ing
     1  Granskog                                 T1                      grans.kog
     1  Velling                                  T1                      vel.ling
     1  Loring                                   T1                      lo.ring
     1  Coping                                   T1                      co.ping
     1  Töfting                                  T1                      töf.ting
     1  Elfsborg                                 T1                      elfs.borg
     1  Wilhelmsburg                             T1                      wil.helms.burg
     1  Trommelschlang                           T1                      trom.melsch.lang
     1  Sejong                                   T1                      se.jong
     1  Gamag                                    T1                      ga.mag
     1  Tausig                                   T1                      tau.sig
     1  Borring                                  T1                      bor.ring
     1  Traurig                                  T1                      trau.rig
     1  Svalberg                                 T1                      sval.berg
     1  Moogetmoog                               T1                      moo.get.moog
     1  Röning                                   T1                      rö.ning
     1  Moosburg                                 T1                      moos.burg
     1  Sommarberg                               T1                      som.mar.berg
     1  Triangtrong                              T1 T2                   tri.angt.rong
     1  Oolong                                   T1                      oo.long
     1  Hainburg                                 T1                      hain.burg
     1  Muhling                                  T1                      muh.ling
     1  Kullenberg                               T1                      kul.len.berg
     1  Grönskog                                 T1                      gröns.kog
     1  Licensing                                T1                      li.cen.sing
     1  Ranking                                  T1                      ran.king
     1  Ruehling                                 T1 T2                   ru.eh.ling
     1  Ginzberg                                 T1                      ginz.berg
     1  Werving                                  T1                      wer.ving
     1  benchmarking                             T1                      bench.mar.king
     1  Wilberg                                  T1                      wil.berg
     1  Yingying                                 T1                      yin.gying
     1  Raising                                  T1                      rai.sing
     1  Mekong                                   T1                      me.kong
     1  Incoming                                 T1                      in.co.ming
     1  Finnberg                                 T1                      finn.berg
     1  twinning                                 T1                      twin.ning
     1  Grönning                                 T1                      grön.ning
     1  Skanderborg                              T1                      skan.der.borg
     1  Holmerg                                  T1                      hol.merg
     1  Bootleg                                  T1                      boot.leg
     1  Zerling                                  T1                      zer.ling
     1  Dongfeng                                 T1                      dong.feng
     1  Calleberg                                T1                      cal.le.berg
     1  Fishing                                  T1                      fis.hing
     1  Siesing                                  T1                      sie.sing
     1  Maning                                   T1                      ma.ning
     1  Vaenerberg                               T1 T2                   va.e.ner.berg
     1  Ahrenberg                                T1                      ah.ren.berg
     1  Prolang                                  T1                      pro.lang
     1  Earthling                                T1 T2                   e.arth.ling
     1  Alhberg                                  T1                      alh.berg
     1  Metallurg                                T1                      me.tal.lurg
     1  Schanberg                                T1                      schan.berg
     1  Tulindberg                               T1                      tu.lind.berg
     1  Schlaug                                  T0                      schlaug
     1  Tandberg                                 T1                      tand.berg
     1  Kinberg                                  T1                      kin.berg
     1  maailmanranking                          T1 T6                   maa.il.man.ran.king
     1  Fromberg                                 T1                      from.berg
     1  Appelberg                                T1                      ap.pel.berg
     1  Rudenberg                                T1                      ru.den.berg
     1  Brantberg                                T1                      brant.berg
     1  Klingberg                                T1                      kling.berg
     1  Wandering                                T1                      wan.de.ring
     1  Hattiesburg                              T1 T8                   hat.ti.es.burg
     1  Getting                                  T1                      get.ting
     1  Balding                                  T1                      bal.ding
     1  Adlerberg                                T1                      ad.ler.berg
     1  Ochieng                                  T1 T8                   oc.hi.eng
     1  Dyvidag                                  T1                      dy.vi.dag
     1  Lotsberg                                 T1                      lots.berg
     1  Briefing                                 T1                      brie.fing
     1  Hällberg                                 T1                      häll.berg
     1  Kumkang                                  T1                      kum.kang
     1  Steneberg                                T1                      ste.ne.berg
     1  Ollonberg                                T1                      ol.lon.berg
     1  Qiang                                    T2                      qi.ang
     1  Ellenberg                                T1                      el.len.berg
     1  Liljeborg                                T1                      lil.je.borg
     1  Xiutang                                  T1                      xiu.tang
     1  Candyking                                T1                      can.dy.king
     1  Waenerberg                               T1 T2                   wa.e.ner.berg
     1  Systembolag                              T1                      sys.tem.bo.lag
     1  Harlang                                  T1                      har.lang
     1  Sperling                                 T1                      sper.ling
     1  Reflecting                               T1                      ref.lec.ting
     1  Streaming                                T1 T2                   stre.a.ming
     1  Hmong                                    T0                      hmong
     1  Drakenberg                               T1                      dra.ken.berg
     1  Lehoang                                  T1 T2                   le.ho.ang
     1  Zetterling                               T1                      zet.ter.ling
     1  Mannberg                                 T1                      mann.berg
     1  Dahlborg                                 T1                      dahl.borg
     1  Vidjeskog                                T1                      vid.jes.kog
     1  Spöring                                  T1                      spö.ring
     1  Joking                                   T1                      jo.king
     1  Leaving                                  T1 T2                   le.a.ving
     1  Wennberg                                 T1                      wenn.berg
     1  Solvang                                  T1                      sol.vang
     1  Amrstrong                                T1                      amrst.rong
     1  Holdig                                   T1                      hol.dig
     1  Kranenborg                               T1                      kra.nen.borg
     1  Friedberg                                T1                      fried.berg
     1  Breitling                                T1                      breit.ling
     1  Feeling                                  T1                      fee.ling
     1  Löring                                   T1                      lö.ring
     1  Rosing                                   T1                      ro.sing
     1  Landsberg                                T1                      lands.berg
     1  Freitag                                  T1                      frei.tag
     1  Kunsang                                  T1                      kun.sang
     1  Sinding                                  T1                      sin.ding
     1  Vesterberg                               T1                      ves.ter.berg
     1  Washingtong                              T1                      was.hing.tong
     1  Spartanburg                              T1                      spar.tan.burg
     1  Bergling                                 T1                      berg.ling
     1  Kellberg                                 T1                      kell.berg
     1  Brunberg                                 T1                      brun.berg
     1  Kingkong                                 T1                      king.kong
     1  Programming                              T1                      prog.ram.ming
     1  Bragg                                    T0                      bragg
     1  Dalhberg                                 T1                      dalh.berg
     1  Travelling                               T1                      tra.vel.ling
     1  Endlösung                                T1                      end.lö.sung
     1  Ereng                                    T1                      e.reng
     1  Ziang                                    T2                      zi.ang
     1  Edinburg                                 T1                      e.din.burg
     1  Nessling                                 T1                      ness.ling
     1  Markenting                               T1                      mar.ken.ting
     1  Gullberg                                 T1                      gull.berg
     1  Sachsenring                              T1                      sach.sen.ring
     1  Swanlung                                 T1                      swan.lung
     1  Chiang                                   T2                      chi.ang
     1  Rheborg                                  T1                      rhe.borg
     1  Advertising                              T1                      ad.ver.ti.sing
     1  Werling                                  T1                      wer.ling
     1  Lichtenberg                              T1                      lich.ten.berg
     1  Verkkofootbag                            T1                      verk.ko.foot.bag
     1  Shingsheng                               T1                      shings.heng
     1  Chengjiang                               T1 T2                   cheng.ji.ang
     1  Stelling                                 T1                      stel.ling
     1  Elmag                                    T1                      el.mag
     1  Vestervang                               T1                      ves.ter.vang
     1  Rydeberg                                 T1                      ry.de.berg
     1  Troberg                                  T1                      tro.berg
     1  Besserberg                               T1                      bes.ser.berg
     1  Liebenberg                               T1                      lie.ben.berg
     1  Kitching                                 T1                      kitc.hing
     1  Gerling                                  T1                      ger.ling
     1  Sparkling                                T1                      spark.ling
     1  keilailuranking                          T1                      kei.lai.lu.ran.king
     1  Ljungskog                                T1                      ljungs.kog
     1  Wondering                                T1                      won.de.ring
     1  Ahlberhg                                 T1                      ahl.berhg
     1  Eckberg                                  T1                      eck.berg
     1  Tordborg                                 T1                      tord.borg
     1  Hurtig                                   T1                      hur.tig
     1  Rönnskog                                 T1                      rönns.kog
     1  Henig                                    T1                      he.nig
     1  Xinjiang                                 T1 T2                   xin.ji.ang
     1  Topping                                  T1                      top.ping
     1  Ödberg                                   T1                      öd.berg
     1  Enterprising                             T1                      en.terp.ri.sing
     1  Weibang                                  T1                      wei.bang
     1  Wejshag                                  T1                      wejs.hag
     1  Everything                               T1                      e.ve.ryt.hing
     1  Rawling                                  T1                      raw.ling
     1  Hansing                                  T1                      han.sing
     1  Verlag                                   T1                      ver.lag
     1  Klevering                                T1                      kle.ve.ring
     1  Rychenberg                               T1                      ryc.hen.berg
     1  Feverberg                                T1                      fe.ver.berg
     1  Xitong                                   T1                      xi.tong
     1  Abegg                                    T1                      a.begg
     1  Klenberg                                 T1                      klen.berg
     1  Jiving                                   T1                      ji.ving
     1  Hopalong                                 T1                      ho.pa.long
     1  Drinking                                 T1                      drin.king
